payment_id,agent_id
cause,social
six,movie
water,audience
there,total
study,event
few,alone
operation,rich
there,somebody
military,number
final,really
begin,include
us,happen
former,while
value,sense
four,prepare
say,mouth
type,responsibility
group,section
leg,create
president,into
firm,physical
threat,chance
mention,network
improve,analysis
society,think
magazine,listen
whose,little
point,member
that,note
really,along
attention,TV
yard,management
ever,painting
truth,reveal
old,lay
natural,close
us,Democrat
avoid,cold
goal,off
onto,stage
president,gun
pattern,might
draw,own
election,walk
price,low
day,why
increase,contain
time,necessary
fast,production
explain,summer
community,enter
how,citizen
daughter,traditional
full,of
open,level
issue,attention
structure,where
produce,long
southern,share
outside,produce
might,water
camera,health
window,bill
son,animal
unit,decide
too,personal
when,station
country,performance
trade,sometimes
these,than
believe,reason
reflect,wear
very,pull
world,approach
stand,lose
reason,kind
should,bit
pressure,recently
old,model
radio,ok
choice,tree
per,nation
task,eat
eat,involve
control,past
tell,the
administration,Mrs
put,whatever
majority,become
she,always
meet,expert
card,natural
write,finish
above,star
although,tree
station,task
son,two
interesting,remain
base,east
brother,remember
evening,detail
site,accept
rise,forget
well,begin
local,building
country,nation
best,decade
will,billion
wide,nearly
message,remain
statement,decide
thus,here
window,force
floor,animal
source,song
race,whether
process,career
back,notice
feel,everybody
reflect,study
protect,hair
student,first
husband,than
try,treatment
me,capital
blood,try
church,responsibility
shoulder,soldier
heart,soldier
require,cost
culture,life
billion,must
yes,seat
seat,role
reveal,development
big,put
rich,reveal
case,than
claim,smile
many,whatever
friend,foot
seek,design
stuff,news
cup,avoid
window,subject
surface,game
suffer,number
natural,between
be,process
rather,nice
maintain,certain
exist,tonight
manager,Democrat
community,month
commercial,rather
economic,often
director,national
them,someone
agency,mission
wait,three
least,son
degree,material
low,grow
career,popular
same,later
return,both
skin,production
in,again
maintain,but
education,thus
court,today
administration,first
top,economy
energy,several
resource,reflect
us,series
resource,interest
listen,everyone
such,about
generation,try
country,drive
positive,how
source,paper
artist,blue
edge,draw
which,prevent
unit,sense
treat,meeting
court,offer
skin,population
popular,environmental
number,pretty
clear,very
off,life
wrong,turn
subject,minute
up,trial
interesting,today
thought,sort
success,artist
politics,science
soon,create
local,require
natural,ten
mind,truth
character,law
field,four
character,build
leader,tonight
loss,sometimes
month,mother
wind,somebody
candidate,toward
eye,audience
ok,year
baby,act
believe,available
sing,interest
after,decision
growth,care
available,discussion
several,official
give,activity
civil,appear
move,everybody
blood,increase
over,section
remember,source
agreement,give
perhaps,charge
arm,little
theory,teacher
performance,all
clearly,position
few,short
message,leave
book,law
good,itself
animal,special
deep,son
next,fire
alone,within
increase,imagine
which,television
item,sign
relationship,authority
look,activity
time,reality
number,what
public,space
true,attack
near,course
appear,campaign
also,staff
again,six
land,life
dinner,along
billion,lawyer
believe,front
hit,number
military,line
create,quite
fine,throughout
floor,part
guess,PM
water,strategy
successful,major
career,include
around,do
around,policy
material,phone
majority,clearly
state,including
idea,read
perhaps,instead
happy,rate
road,shake
every,sing
second,check
site,church
visit,floor
officer,live
recently,clearly
past,career
consumer,top
alone,wonder
always,majority
yeah,stay
kid,money
tend,we
card,several
American,do
clearly,culture
down,body
so,would
what,site
cup,coach
show,produce
administration,wonder
southern,center
tough,increase
accept,itself
work,training
player,plan
window,agency
lay,serve
lot,national
yet,never
thousand,street
relationship,investment
authority,fear
senior,her
near,only
pay,thank
hotel,do
rise,break
agency,study
store,product
look,same
example,under
anything,put
position,half
know,picture
best,care
deep,character
but,production
season,drive
world,water
participant,catch
material,democratic
garden,data
give,age
account,treat
hot,beyond
arm,item
your,maybe
difference,mean
impact,other
relationship,step
safe,him
mind,run
upon,oil
score,organization
without,build
attack,book
arm,top
analysis,my
treat,smile
next,behind
common,month
question,fire
value,carry
major,approach
question,everybody
white,fight
organization,necessary
eight,station
pattern,face
past,I
interview,person
land,again
reflect,accept
structure,child
south,door
with,yet
machine,close
possible,question
upon,on
hotel,five
now,color
nice,purpose
article,activity
call,forward
ten,yeah
very,safe
one,collection
attention,show
something,ten
dinner,manager
hard,clear
enjoy,charge
window,anyone
enough,every
picture,bag
imagine,technology
cover,special
over,more
recently,right
suggest,recent
sell,around
bar,yourself
fall,charge
other,opportunity
focus,again
he,every
effort,final
I,energy
traditional,rock
wrong,friend
war,be
office,share
outside,region
trip,part
face,tax
father,themselves
kitchen,middle
outside,even
finish,yourself
want,owner
their,eat
little,property
growth,ask
down,man
professional,after
PM,continue
all,sense
response,measure
nor,also
consumer,friend
difficult,nor
quality,force
point,sea
something,rest
stuff,of
go,once
affect,west
after,one
picture,early
tonight,way
available,director
sure,enter
ability,describe
travel,image
news,worry
seek,health
type,care
red,on
soldier,cell
mean,official
painting,population
eye,song
include,live
example,nice
TV,international
parent,today
leg,sure
city,great
this,think
that,attack
detail,suggest
newspaper,pass
often,do
product,yet
customer,show
thus,sister
already,guy
man,production
politics,opportunity
interest,positive
beyond,professor
image,eye
level,image
skill,certainly
lead,else
everything,late
raise,step
actually,wrong
argue,list
market,sit
should,politics
lead,think
analysis,animal
throughout,edge
cup,hour
have,all
popular,which
series,put
product,picture
stop,for
three,perhaps
house,decision
movement,he
shoulder,bag
however,population
guy,me
modern,rock
list,too
school,piece
human,voice
full,down
yeah,contain
fine,figure
finish,to
two,seven
make,between
night,writer
light,will
specific,radio
law,myself
north,hotel
evidence,he
culture,artist
now,inside
adult,bill
during,point
soldier,eight
us,design
reveal,check
culture,performance
church,see
she,up
sport,science
none,type
understand,compare
trouble,amount
simple,certain
break,rather
economy,apply
anything,business
service,message
baby,true
thus,social
wrong,executive
step,many
computer,large
early,owner
type,best
far,thought
power,just
wife,two
support,enter
source,marriage
analysis,prepare
allow,space
book,before
fund,easy
through,owner
develop,on
will,offer
rest,leg
really,third
environmental,argue
them,agree
probably,market
listen,amount
discuss,choose
unit,rise
dog,successful
PM,its
prove,sense
fund,share
receive,American
standard,hold
safe,fight
out,size
game,understand
exist,eight
four,sport
government,authority
message,quite
letter,newspaper
hear,after
heart,get
create,personal
oil,pressure
rest,board
mission,world
list,own
record,bit
firm,charge
best,anything
hundred,bring
nothing,character
mouth,place
no,expert
still,PM
social,leave
response,interview
dinner,environment
edge,whatever
form,large
as,discuss
remember,relationship
born,nor
gun,future
visit,or
now,only
answer,within
when,picture
give,happen
ball,stuff
visit,strong
stock,music
research,you
media,yard
pattern,better
wide,similar
represent,girl
project,stay
raise,example
rock,across
sea,approach
might,drug
might,security
prove,girl
moment,weight
edge,international
field,news
young,pattern
authority,participant
could,majority
benefit,look
goal,join
body,sister
affect,should
accept,interview
issue,environment
personal,research
clearly,series
player,there
blue,line
